epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1482.13,0.4236,0.90571,0.08506,0.40946,0.94911,0.90204,0.90398,0.9621,0.9371,0.87896,0.88642,0.93041,0.73761,0.28312,0.90058,0.0497,0.47055,0.89813,0.00123791,0.00123791,0.00123791
28,1537.32,0.4298,0.88794,0.09029,0.40743,0.95405,0.90003,0.91288,0.9556,0.92747,0.88739,0.89908,0.92824,0.73212,0.28594,0.93427,0.04771,0.48955,0.91091,0.00122141,0.00122141,0.00122141
29,1590.71,0.41834,0.91127,0.08546,0.40222,0.94666,0.89018,0.91838,0.95914,0.93534,0.87294,0.90058,0.93315,0.74003,0.27408,0.90975,0.04929,0.4481,0.89234,0.00120491,0.00120491,0.00120491
30,1645.64,0.42221,0.87561,0.08472,0.40107,0.94507,0.8976,0.90811,0.95487,0.92994,0.87817,0.88576,0.92902,0.73667,0.28647,0.91365,0.05552,0.47041,0.89906,0.0011884,0.0011884,0.0011884
31,1699.01,0.42549,0.88113,0.08624,0.40529,0.94595,0.8966,0.90854,0.95506,0.93001,0.87622,0.88675,0.923,0.72871,0.27882,0.9416,0.05265,0.46948,0.89458,0.0011719,0.0011719,0.0011719
32,1752.4,0.41116,0.87357,0.08434,0.39164,0.93924,0.89961,0.9142,0.95861,0.93447,0.88535,0.89391,0.92945,0.74023,0.27194,0.90258,0.0453,0.45702,0.89236,0.0011554,0.0011554,0.0011554
33,1805.54,0.41695,0.86691,0.08327,0.39137,0.93585,0.88996,0.92671,0.96065,0.93757,0.8729,0.91078,0.93489,0.744,0.26149,0.89192,0.04877,0.46041,0.88392,0.00113889,0.00113889,0.00113889
34,1862.55,0.41652,0.87669,0.08614,0.39318,0.93986,0.87354,0.93608,0.95728,0.93571,0.85634,0.9153,0.93027,0.7495,0.27861,0.8723,0.04464,0.49514,0.89161,0.00112239,0.00112239,0.00112239
35,1917.51,0.41062,0.84826,0.07998,0.38138,0.93681,0.9013,0.92076,0.9552,0.93201,0.88608,0.90523,0.92965,0.75076,0.26555,0.85801,0.04541,0.46402,0.89215,0.00110589,0.00110589,0.00110589
36,1970.95,0.41318,0.84886,0.08315,0.38852,0.94047,0.8885,0.93303,0.95612,0.92965,0.8993,0.88915,0.9262,0.73445,0.26735,0.88179,0.04695,0.4579,0.88787,0.00108938,0.00108938,0.00108938
37,2024.39,0.41471,0.84011,0.08061,0.39403,0.94407,0.91161,0.91042,0.95475,0.93025,0.89698,0.89577,0.92628,0.73699,0.26301,0.86931,0.04676,0.45754,0.88481,0.00107288,0.00107288,0.00107288
38,2077.66,0.41386,0.86386,0.08411,0.39117,0.94143,0.90077,0.91373,0.954,0.93161,0.89197,0.89544,0.92492,0.73763,0.26233,0.87992,0.04713,0.47112,0.88408,0.00105638,0.00105638,0.00105638
39,2131.09,0.40245,0.82388,0.08045,0.38007,0.93722,0.87693,0.93968,0.95375,0.93346,0.85955,0.91386,0.91999,0.74182,0.25545,0.88937,0.04503,0.45437,0.87851,0.00103987,0.00103987,0.00103987
40,2184.58,0.40499,0.83628,0.08154,0.37727,0.93068,0.89829,0.91046,0.94588,0.9252,0.88,0.88923,0.91292,0.72814,0.25615,0.87888,0.0463,0.50324,0.87969,0.00102337,0.00102337,0.00102337
41,2238.08,0.41022,0.84738,0.07988,0.38809,0.94025,0.89803,0.90994,0.95898,0.93935,0.88261,0.89399,0.9319,0.75147,0.25653,0.86216,0.04511,0.45889,0.87822,0.00100687,0.00100687,0.00100687
42,2291.61,0.41025,0.82859,0.07893,0.38434,0.93716,0.88788,0.92765,0.95079,0.92704,0.87496,0.90715,0.92034,0.73579,0.26077,0.8533,0.0431,0.493,0.88036,0.000990365,0.000990365,0.000990365
43,2344.86,0.40151,0.81489,0.07983,0.374,0.93271,0.8953,0.93077,0.95916,0.93791,0.87936,0.91401,0.93136,0.74908,0.26036,0.85203,0.04503,0.44071,0.87687,0.000973861,0.000973861,0.000973861
44,2401.79,0.39963,0.81395,0.08056,0.37711,0.93315,0.88064,0.94056,0.95314,0.93171,0.90127,0.88557,0.93022,0.74955,0.25712,0.85429,0.04535,0.45026,0.87864,0.000957358,0.000957358,0.000957358
45,2455.02,0.39604,0.77565,0.07863,0.37404,0.93006,0.88604,0.93109,0.95628,0.93519,0.87101,0.9155,0.93104,0.74568,0.25233,0.85152,0.04673,0.45198,0.87905,0.000940855,0.000940855,0.000940855
46,2508.27,0.40277,0.81748,0.08171,0.38054,0.93673,0.88627,0.92518,0.95277,0.93259,0.87062,0.9082,0.92965,0.7506,0.25476,0.84693,0.04366,0.46703,0.88084,0.000924352,0.000924352,0.000924352
47,2562.37,0.39334,0.78277,0.07915,0.36437,0.92192,0.90005,0.92624,0.94939,0.93036,0.8837,0.90992,0.92217,0.74724,0.25375,0.85614,0.04273,0.45645,0.87661,0.000907848,0.000907848,0.000907848
48,2619.62,0.38875,0.78875,0.07582,0.36324,0.92814,0.903,0.91828,0.95022,0.93156,0.88936,0.90161,0.92335,0.73916,0.24762,0.84395,0.04082,0.45115,0.8744,0.000891345,0.000891345,0.000891345
49,2673.05,0.39488,0.79331,0.08109,0.37267,0.92961,0.89128,0.92713,0.95413,0.93609,0.8791,0.90856,0.93067,0.75931,0.24954,0.83181,0.04409,0.45441,0.87141,0.000874842,0.000874842,0.000874842
50,2731.62,0.39373,0.78661,0.07902,0.36325,0.92754,0.88435,0.92791,0.94745,0.92731,0.87619,0.91636,0.92495,0.73461,0.25561,0.84123,0.04715,0.46776,0.87861,0.000858338,0.000858338,0.000858338
51,2784.7,0.39281,0.78227,0.07737,0.36445,0.92815,0.89521,0.92712,0.95762,0.93984,0.88288,0.91335,0.93906,0.76153,0.24585,0.83195,0.0416,0.44701,0.87297,0.000841835,0.000841835,0.000841835
52,2838.14,0.38587,0.77749,0.0751,0.35665,0.92548,0.88435,0.93474,0.95821,0.94179,0.87793,0.90868,0.93731,0.75554,0.24864,0.84492,0.04611,0.45562,0.87257,0.000825332,0.000825332,0.000825332
